58.0,management,married,tertiary,yes,no,no
44.0,technician,single,secondary,yes,no,no
33.0,entrepreneur,married,secondary,yes,yes,no
47.0,blue-collar,married,unknown,yes,no,no
33.0,unknown,single,unknown,no,no,no
35.0,management,married,tertiary,yes,no,no
28.0,management,single,tertiary,yes,yes,no
42.0,entrepreneur,divorced,tertiary,yes,no,no
58.0,retired,married,primary,yes,no,no
43.0,technician,single,secondary,yes,no,no
41.0,admin,divorced,secondary,yes,no,no
29.0,admin,single,secondary,yes,no,no
53.0,technician,married,secondary,yes,no,no
58.0,technician,,unknown,yes,no,no
57.0,services,married,secondary,yes,no,no
51.0,retired,married,primary,yes,no,no
45.0,admin,single,unknown,yes,no,no
57.0,blue-collar,married,primary,yes,no,no
60.0,,married,primary,yes,no,no
33.0,services,married,secondary,yes,no,no
28.0,blue-collar,married,secondary,yes,yes,no
56.0,management,married,tertiary,yes,no,no
32.0,blue-collar,single,primary,yes,yes,no
25.0,services,,secondary,yes,no,no
40.0,retired,married,primary,yes,yes,no
44.0,,married,secondary,yes,no,no
39.0,management,single,tertiary,yes,no,no
52.0,entrepreneur,married,secondary,yes,yes,no
46.0,management,single,secondary,yes,no,no
36.0,technician,single,secondary,yes,yes,no
57.0,technician,,secondary,no,yes,no
49.0,management,married,tertiary,yes,no,no
60.0,admin,married,secondary,yes,yes,no
59.0,blue-collar,married,secondary,yes,no,no
51.0,management,,tertiary,yes,no,no
57.0,technician,divorced,secondary,yes,no,no
25.0,blue-collar,married,secondary,yes,no,no
53.0,technician,married,secondary,no,no,no
36.0,admin,divorced,secondary,yes,no,no
37.0,admin,single,secondary,yes,no,no
44.0,services,divorced,secondary,yes,no,no
50.0,management,married,secondary,yes,no,no
60.0,blue-collar,married,unknown,yes,no,no
54.0,retired,married,secondary,yes,no,no
58.0,retired,married,unknown,yes,no,no
36.0,admin,single,primary,yes,no,no
58.0,self-employed,married,tertiary,yes,no,no
44.0,technician,married,secondary,yes,no,no
55.0,technician,divorced,secondary,no,no,no
29.0,management,single,tertiary,yes,no,no
54.0,blue-collar,married,secondary,yes,no,no
48.0,management,divorced,tertiary,yes,no,no
32.0,management,married,tertiary,yes,no,no
42.0,admin,single,secondary,yes,no,no
24.0,technician,single,secondary,yes,yes,no
38.0,entrepreneur,single,tertiary,no,yes,no
38.0,management,single,tertiary,yes,no,no
47.0,blue-collar,married,unknown,yes,no,no
40.0,blue-collar,single,unknown,yes,no,no
46.0,services,married,primary,yes,no,no
32.0,admin,married,tertiary,yes,no,no
53.0,technician,divorced,secondary,yes,no,no
57.0,blue-collar,married,primary,yes,no,no
33.0,services,married,secondary,yes,no,no
49.0,blue-collar,married,unknown,yes,no,no
51.0,management,married,tertiary,yes,no,no
60.0,retired,married,tertiary,no,no,no
59.0,management,divorced,tertiary,yes,no,no
55.0,technician,married,secondary,yes,no,no
35.0,blue-collar,single,secondary,yes,yes,no
57.0,blue-collar,married,secondary,yes,yes,no
31.0,services,married,secondary,yes,yes,no
54.0,management,married,secondary,yes,yes,no
55.0,blue-collar,married,primary,yes,no,no
43.0,technician,married,secondary,yes,no,no
53.0,technician,married,secondary,yes,no,no
